country_iso3	epidemic_period	lineage_group	feature	category	n_category	n_feature_annotated	n_feature_interpretable	n_feature_missing	n_lineage_tree_total	category_percent_of_annotated	category_percent_of_tree_total
CHN	resurgence	L1_02.07	published_MT_label	MISSING	104	44	44	104	148		70.2702702702703
CHN	resurgence	L1_02.07	published_MT_label	MR-MT28-others	27	44	44	104	148	61.3636363636364	18.2432432432432
CHN	resurgence	L1_02.07	published_MT_label	MR-MT28-PG2	12	44	44	104	148	27.2727272727273	8.10810810810811
CHN	resurgence	L1_02.07	published_MT_label	MR-MT28-PG1	5	44	44	104	148	11.3636363636364	3.37837837837838
CHN	resurgence	Other_model_lineages	source_ptxP	MISSING	4	1	1	4	5		80
CHN	resurgence	Other_model_lineages	source_ptxP	ptxP1	1	1	1	4	5	100	20
CHN	resurgence	Other_model_lineages	source_fim3	MISSING	4	1	1	4	5		80
CHN	resurgence	Other_model_lineages	source_fim3	fim3-1	1	1	1	4	5	100	20
CHN	resurgence	Other_model_lineages	source_antigen_profile	MISSING	4	1	1	4	5		80
CHN	resurgence	Other_model_lineages	source_antigen_profile	ptxP1/fim3-1	1	1	1	4	5	100	20
CHN	resurgence	Other_model_lineages	source_23S_raw	MISSING	4	1	1	4	5		80
CHN	resurgence	Other_model_lineages	source_23S_raw	MR_A2047G	1	1	1	4	5	100	20
CHN	resurgence	Other_model_lineages	frozen_23S_status	MISSING	4	1	1	4	5		80
CHN	resurgence	Other_model_lineages	frozen_23S_status	MR_A2047G	1	1	1	4	5	100	20
CHN	resurgence	Other_model_lineages	frozen_PRN_outcome	intact	3	5	3	0	5	60	60
CHN	resurgence	Other_model_lineages	frozen_PRN_outcome	non_interpretable	2	5	3	0	5	40	40
CHN	resurgence	Other_model_lineages	frozen_PRN_mechanism	intact	3	5	3	0	5	60	60
