country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	baseline_lower_95	baseline_upper_95	no_new_exposure_median	no_new_exposure_lower_95	no_new_exposure_upper_95	equal_lineage_median	equal_lineage_lower_95	equal_lineage_upper_95	l10207_reference_median	l10207_reference_lower_95	l10207_reference_upper_95
AUS	2025-07-01	1572	1643.34100041349	1407.91275639888	1935.5738538694	2281.6186858246	1012.14781639072	6462.23923565728	2292.38638059878	1001.21881472875	6395.84529119634	1581.03847325201	476.630598103013	4381.00088696247	1469.57289530878	388.623651201508	3913.80942962361
AUS	2025-08-01	1704	1474.04622305706	1256.46529437682	1744.01143612672	2040.40488579162	905.540221689612	5738.10536637089	2049.60428124056	888.642009068057	5793.14815018567	1376.86509012616	401.47738732747	3894.77882676881	1283.18266802674	330.230285766916	3488.34139757672
AUS	2025-09-01	1748	1554.98051347638	1319.00848354444	1850.63496162941	1817.78581627661	797.875898454692	5340.11019530943	1829.61732549733	787.463036517276	5329.9481235142	1200.47539075359	336.395368513443	3506.44519241763	1116.79119975555	289.62494884498	3113.77176833769
AUS	2025-10-01	1587	1547.69493808367	1296.27169905662	1864.91326674617	1612.91036745289	679.245198978827	4798.9038646777	1625.07197655636	674.637603140808	4763.97368518455	1028.02181665903	267.520070042972	3049.81522913018	958.178887602558	227.832886082891	2725.00556186798
AUS	2025-11-01	1496	1355.01472781461	1092.96106153039	1715.13332175675	1383.46424709831	562.461480553505	4185.71215759974	1393.11639938749	556.701208680669	4157.35480390955	856.43692230906	213.118029557558	2536.4138686967	798.747696364743	180.020752703485	2264.54057023304
AUS	2025-12-01	919	1196.612411568	879.667950297858	1666.20700121581	1121.210627183	417.676720567471	3511.67015580293	1133.1479336399	419.879444768514	3494.40751739576	671.958407897083	148.613664966321	2193.91389643449	622.345140807898	128.442351917295	2007.74891810103
CHN	2019-01-01	1260	1260.000001	1260.000001	1260.000001	1260	1260	1260	1260	1260	1260	1260	1260	1260	1260	1260	1260
CHN	2019-02-01	1444	1643.93192717203	1184.1173311767	2310.80883209926	1444	1444	1444	1444	1444	1444	1444	1444	1444	1444	1444	1444
CHN	2019-03-01	2735	1808.55779718949	1403.05674223645	2357.31274056249	2735	2735	2735	2735	2735	2735	2735	2735	2735	2735	2735	2735
CHN	2019-04-01	2689	3138.18794171824	2513.298410008	3943.15299814101	2689	2689	2689	2689	2689	2689	2689	2689	2689	2689	2689	2689
CHN	2019-05-01	3129	2951.34200000581	2383.88453107357	3655.79688923111	3129	3129	3129	3129	3129	3129	3129	3129	3129	3129	3129	3129
CHN	2019-06-01	3128	3222.97226479319	2637.83289795597	3979.85233106094	3128	3128	3128	3128	3128	3128	3128	3128	3128	3128	3128	3128
CHN	2019-07-01	3635	3066.96498919158	2524.61242616637	3744.62605619878	3635	3635	3635	3635	3635	3635	3635	3635	3635	3635	3635	3635
