project_id	run_accession	sample_accession	collection_date	country	first_public	comparison_status	gapfill_success_n	gapfill_success_runs	qc_decision	qc_reason	checkm_completeness	checkm_contamination	nas_match_status
PRJNA1071282	SRR27796132	SAMN39682960	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796132					paper_comparison
PRJNA1071282	SRR27796133	SAMN39682959	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796134	SAMN39682958	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796135	SAMN39682957	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796136	SAMN39682956	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796136					paper_comparison
PRJNA1071282	SRR27796137	SAMN39682955	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796138	SAMN39682954	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796139	SAMN39683441	2023	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796140	SAMN39683440	2023	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796140					paper_comparison
PRJNA1071282	SRR27796141	SAMN39683439	2023	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796142	SAMN39683438	2023	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796143	SAMN39683437	2023	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796144	SAMN39683436	2023	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796144					paper_comparison
PRJNA1071282	SRR27796145	SAMN39683435	2023	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796145					paper_comparison
PRJNA1071282	SRR27796146	SAMN39683434	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796146					paper_comparison
PRJNA1071282	SRR27796147	SAMN39683433	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796147					paper_comparison
PRJNA1071282	SRR27796148	SAMN39682911	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796148					paper_comparison
PRJNA1071282	SRR27796149	SAMN39683432	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796150	SAMN39683431	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796150					paper_comparison
PRJNA1071282	SRR27796151	SAMN39683430	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796152	SAMN39683429	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796153	SAMN39683428	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796154	SAMN39683427	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796155	SAMN39683426	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796156	SAMN39683425	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796157	SAMN39683424	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796157					paper_comparison
PRJNA1071282	SRR27796158	SAMN39683423	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796159	SAMN39682910	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796160	SAMN39683422	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796161	SAMN39683421	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796162	SAMN39683420	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796163	SAMN39683419	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796164	SAMN39683418	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796164					paper_comparison
PRJNA1071282	SRR27796165	SAMN39683417	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796166	SAMN39683416	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796166					paper_comparison
